"year","ship","trip","haul","code","species","kg","num"
1997,"PA",5,1,"RHG","Macrourus berglax",0.2,1
1997,"PA",5,4,"RHG","Macrourus berglax",2,2
1997,"PA",5,4,"RNG","Coryphaenoides rupestris",0.2,7
1997,"PA",5,6,"RHG","Macrourus berglax",0.3,1
1997,"PA",5,7,"RNG","Coryphaenoides rupestris",0.1,2
1997,"PA",5,9,"RHG","Macrourus berglax",0.5,1
1997,"PA",5,10,"RNG","Coryphaenoides rupestris",0.2,6
1997,"PA",5,11,"RHG","Macrourus berglax",1.3,4
1997,"PA",5,12,"RHG","Macrourus berglax",1.4,4
1997,"PA",5,13,"RHG","Macrourus berglax",0.5,2
1997,"PA",5,13,"RNG","Coryphaenoides rupestris",1.5,18
1997,"PA",5,14,"RHG","Macrourus berglax",0.3,1
1997,"PA",5,14,"RNG","Coryphaenoides rupestris",2.5,45
1997,"PA",5,15,"RHG","Macrourus berglax",0.5,2
1997,"PA",5,15,"RNG","Coryphaenoides rupestris",0.4,6
1997,"PA",5,16,"RHG","Macrourus berglax",0.1,1
1997,"PA",5,16,"RNG","Coryphaenoides rupestris",0.2,5
1997,"PA",5,18,"RHG","Macrourus berglax",0.2,2
1997,"PA",5,18,"RNG","Coryphaenoides rupestris",0.7,17
1997,"PA",5,19,"RHG","Macrourus berglax",1.2,6
1997,"PA",5,19,"RNG","Coryphaenoides rupestris",0.3,3
1997,"PA",5,20,"RHG","Macrourus berglax",2.4,4
1997,"PA",5,20,"RNG","Coryphaenoides rupestris",0.2,2
1997,"PA",5,21,"RHG","Macrourus berglax",2.9,10
1997,"PA",5,21,"RNG","Coryphaenoides rupestris",0.2,3
1997,"PA",5,22,"RHG","Macrourus berglax",3.9,12
1997,"PA",5,23,"RHG","Macrourus berglax",1,5
1997,"PA",5,23,"RNG","Coryphaenoides rupestris",0.2,4
1997,"PA",5,24,"RNG","Coryphaenoides rupestris",0.1,2
1997,"PA",5,25,"RHG","Macrourus berglax",1.6,2
1997,"PA",5,25,"RNG","Coryphaenoides rupestris",0.1,2
1997,"PA",5,26,"RHG","Macrourus berglax",2.7,5
1997,"PA",5,27,"RHG","Macrourus berglax",0.5,2
1997,"PA",5,27,"RNG","Coryphaenoides rupestris",0.8,8
1997,"PA",5,28,"RHG","Macrourus berglax",6.6,15
1997,"PA",5,28,"RNG","Coryphaenoides rupestris",4.3,45
1997,"PA",5,29,"RHG","Macrourus berglax",1.7,4
1997,"PA",5,29,"RNG","Coryphaenoides rupestris",4.3,35
1997,"PA",5,30,"RHG","Macrourus berglax",2,3
1997,"PA",5,30,"RNG","Coryphaenoides rupestris",6.8,59
1997,"PA",5,31,"RHG","Macrourus berglax",4.4,19
1997,"PA",5,31,"RNG","Coryphaenoides rupestris",8.4,154
1997,"PA",5,32,"RHG","Macrourus berglax",1.6,6
1997,"PA",5,32,"RNG","Coryphaenoides rupestris",16.8,396.590112
1997,"PA",5,33,"RHG","Macrourus berglax",6.2,9
1997,"PA",5,33,"RNG","Coryphaenoides rupestris",25.7,161
1997,"PA",5,34,"RHG","Macrourus berglax",6.4,14
1997,"PA",5,34,"RNG","Coryphaenoides rupestris",14.7,76
1997,"PA",5,35,"RHG","Macrourus berglax",6.9,13
