length,weight,species
77,4.593999863,1
53,1.345000029,1
48,1.070000052,1
64,2.717999935,1
67,3.052000046,1
76,4.96999979,1
83,5.670000076,1
72,3.380000114,1
71,3.99000001,1
64,2.619999886,1
63,2.440000057,1
50,1.131999969,1
47,1.080000043,1
59,2.170000076,1
68,3.809999943,1
68,3.381999969,1
79,5.070000172,1
75,4.635000229,1
56,1.572000027,1
82,6.309999943,1
54,1.29400003,2
68,2.878000021,2
61,2.328000069,2
34,0.330000013,2
54,1.223999977,2
51,1.425999999,2
45,0.776000023,2
50,1.264000058,2
42,0.639999986,2
62,2.299999952,2
60,2,2
58,1.909999967,2
43,0.660000026,2
66,2.997999907,2
56,1.460000038,2
51,2.170000076,3
54,2.589999914,3
53,2.861999989,3
50,2.390000105,3
